Year,Population,Residential Land,Other Crops,Crops for Livestock,Livestock
1970,203.302,93821.3081,137663.5744,137663.5744,626147.0255
1980,226.542,104546.2749,153400.2689,153400.2689,697723.5809
1990,248.718,114780.2191,168416.4882,168416.4882,766023.1374
2000,282.385,130317.1149,191213.704,191213.704,869713.6663
2015,321.37,148308.2005,217611.9413,217611.9413,989783.0301
2020,334.5,154367.5299,226502.7675,226502.7675,1030221.936
2025,347.34,160293.0279,235197.2235,235197.2235,1069767.675
2030,359.4,165858.5657,243363.5116,243363.5116,1106911.103
2035,370.34,170907.2377,250771.4048,250771.4048,1140605.058
2040,380.22,175466.7331,257461.5314,257461.5314,1171034.333
2045,389.39,179698.5724,263670.8898,263670.8898,1199276.89
2050,398.33,183824.2696,269724.5063,269724.5063,1226811.073
2055,407.41,188014.575,275872.9223,275872.9223,1254776.439
2060,416.8,192347.9416,282231.2511,282231.2511,1283696.571
